Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Eric Berry,D,D,D,D,D,D,D,D,D,D,D,Q,Q,Q,,Q,,,
Jordan Devey,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Step Durham,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Laurent Duvernay-Tardif,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,27,rg,3310000
Alex Ellis,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cameron Erving,,,,,,,,,,Q,,,,D,,,26,LG,1720781
Dee Ford,,,,,Q,,,,,,,,,,,,,,
Kendall Fuller,,,,,,,,,,,,,,,Q,Q,23,LCB,647500
Dillon Gordon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Demetrius Harris,,,,,,,,,,,,,Q,,,,,,
Tyreek Hill,,,,,,,,,,,,,,Q,,,,,
Anthony Hitchens,,,,,,,,,Q,Q,,,,,,,26,LILB,790000
Justin Houston,,,,,,D,D,D,Q,Q,,,,,,,29,ROLB,14750000
Akeem Hunt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tejan Koroma,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tanoh Kpassagnon,,,,,,Q,Q,,,,,,,,,,,,
J.D. Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mitch Morse,,,,,,,O,O,O,O,O,,,,,,26,C,1047239
Eric Murray,,,,,,O,Q,,,,,,,,,,24,SS,630000
Ben Niemann,,O,D,,,,,,,,,,,,,,,,
Dorian O'Daniel,,,,,,,,,,,,,,,,,,,
Byron Pringle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Keith Reaser,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Terrance Smith,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Daniel Sorensen,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,,,,,
De'Anthony Thomas,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Spencer Ware,,,Q,,,,,,,,,,,D,D,Q,,,
Sammy Watkins,,,,,Q,,,,,Q,Q,O,D,O,O,O,25,WR,790000
Armani Watts,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Darrel Williams,,,,,,,,,,,,,,,,Q,,,
Frank Zombo,,,,,,,,,O,Q,,,,,,,,,
